symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2008-01-23 00:00:00+00:00,139.072,140.0,126.14,136.19,120463200,4.2210124452,4.2491784279,3.8285097636,4.1335400722,3372972972,0.0,1.0
AAPL,2008-01-24 00:00:00+00:00,135.6,140.7,132.01,139.99,71638100,4.1156328202,4.2704243201,4.0066717448,4.2488749152,2005868805,0.0,1.0
AAPL,2008-01-25 00:00:00+00:00,130.01,139.09,129.61,138.99,55526400,3.9459691958,4.2215587682,3.933828686,4.2185236407,1554740754,0.0,1.0
AAPL,2008-01-28 00:00:00+00:00,130.01,133.2,126.45,128.16,52673000,3.9459691958,4.0427897614,3.8379186587,3.889819338,1474845474,0.0,1.0
AAPL,2008-01-29 00:00:00+00:00,131.54,132.79,129.05,131.15,39285100,3.9924066458,4.0303457389,3.9168319723,3.9805696487,1099983899,0.0,1.0
AAPL,2008-01-30 00:00:00+00:00,132.18,135.45,130.0,131.37,44394700,4.0118314615,4.111080129,3.9456656831,3.9872469291,1243052843,0.0,1.0
AAPL,2008-01-31 00:00:00+00:00,135.36,136.65,129.4,129.45,48059800,4.1083485143,4.1475016584,3.9274549184,3.9289724821,1345675745,0.0,1.0
AAPL,2008-02-01 00:00:00+00:00,133.75,136.59,132.18,136.24,36098000,4.0594829624,4.1456805819,4.0118314615,4.1350576359,1010745010,0.0,1.0
AAPL,2008-02-04 00:00:00+00:00,131.65,135.9,131.42,134.21,32115500,3.995745286,4.1247382026,3.9887644929,4.0734445487,899234899,0.0,1.0
AAPL,2008-02-05 00:00:00+00:00,129.36,134.0,128.9,130.43,40751500,3.9262408674,4.067070781,3.9122792812,3.9587167311,1141043141,0.0,1.0
AAPL,2008-02-06 00:00:00+00:00,122.0,131.92,121.77,130.83,56188300,3.7028554872,4.0039401301,3.6958746941,3.9708572409,1573273973,0.0,1.0
AAPL,2008-02-07 00:00:00+00:00,121.24,124.78,117.27,119.97,74404700,3.6797885186,3.7872320303,3.5592939589,3.6412424,2083333683,0.0,1.0
AAPL,2008-02-08 00:00:00+00:00,125.48,125.7,121.6,122.08,48427600,3.8084779224,3.8151552028,3.6907149774,3.7052835892,1355974155,0.0,1.0
AAPL,2008-02-11 00:00:00+00:00,129.45,129.98,127.2,128.01,42908300,3.9289724821,3.9450586576,3.8606821145,3.8852666469,1201433601,0.0,1.0
AAPL,2008-02-12 00:00:00+00:00,124.86,131.0,123.62,130.7,43785000,3.7896601322,3.9760169576,3.7520245519,3.9669115752,1225981225,0.0,1.0
AAPL,2008-02-13 00:00:00+00:00,129.4,129.78,125.63,126.68,34590500,3.9274549184,3.9389884027,3.8130306136,3.8448994518,968534968,0.0,1.0
AAPL,2008-02-14 00:00:00+00:00,127.46,130.8,127.01,129.4,34074900,3.8685734459,3.9699467027,3.8549153724,3.9274549184,954098154,0.0,1.0
AAPL,2008-02-15 00:00:00+00:00,124.63,127.08,124.06,126.27,32189300,3.7826793391,3.8570399616,3.7653791126,3.8324554293,901301301,0.0,1.0
AAPL,2008-02-19 00:00:00+00:00,122.18,126.75,121.44,125.99,35894500,3.7083187166,3.847024041,3.6858587735,3.8239570724,1005047005,0.0,1.0
AAPL,2008-02-20 00:00:00+00:00,123.82,124.6,121.68,122.2,34551400,3.7580948068,3.7817688009,3.6931430794,3.7089257421,967440167,0.0,1.0
AAPL,2008-02-21 00:00:00+00:00,121.54,126.47,120.86,126.05,33504100,3.6888939009,3.8385256842,3.6682550343,3.8257781489,938115738,0.0,1.0
AAPL,2008-02-22 00:00:00+00:00,119.46,122.51,115.87,122.48,54638500,3.62576325,3.7183346372,3.5168021746,3.717424099,1529879529,0.0,1.0
AAPL,2008-02-25 00:00:00+00:00,119.74,120.17,116.664,118.59,44884800,3.6342616069,3.6473126549,3.5409010866,3.5993576412,1256775656,0.0,1.0
AAPL,2008-02-26 00:00:00+00:00,119.15,121.09,115.44,117.64,53746000,3.6163543549,3.6752358274,3.5037511266,3.5705239305,1504889504,0.0,1.0
AAPL,2008-02-27 00:00:00+00:00,122.96,123.05,118.09,118.23,52683500,3.7319927107,3.7347243254,3.584182004,3.5884311824,1475139475,0.0,1.0
AAPL,2008-02-28 00:00:00+00:00,129.91,132.2,125.77,127.2,57794800,3.9429340684,4.012438487,3.817279792,3.8606821145,1618256018,0.0,1.0
AAPL,2008-02-29 00:00:00+00:00,125.02,130.21,124.8,129.75,44838600,3.7945163362,3.9520394507,3.7878390558,3.9380778645,1255482055,0.0,1.0
AAPL,2008-03-03 00:00:00+00:00,121.73,125.98,118.0,124.44,56894400,3.6946606431,3.8236535597,3.5814503893,3.776912597,1593044793,0.0,1.0
AAPL,2008-03-04 00:00:00+00:00,124.62,124.88,120.4,121.99,63763700,3.7823758264,3.7902671577,3.654293448,3.7025519745,1785385385,0.0,1.0
AAPL,2008-03-05 00:00:00+00:00,124.4899,125.14,122.25,123.58,43637000,3.7784271255,3.7981584891,3.7104433058,3.7508105009,1221837221,0.0,1.0
AAPL,2008-03-06 00:00:00+00:00,120.93,127.5,120.81,124.4899,52632100,3.6703796235,3.8697874969,3.6667374706,3.7784271255,1473700273,0.0,1.0
AAPL,2008-03-07 00:00:00+00:00,122.25,122.9799,119.05,120.41,43945100,3.7104433058,3.7325967011,3.6133192275,3.6545969608,1230464030,0.0,1.0
AAPL,2008-03-10 00:00:00+00:00,119.69,123.46,119.37,121.98,35699600,3.6327440431,3.747168348,3.6230316353,3.7022484617,999589799,0.0,1.0
AAPL,2008-03-11 00:00:00+00:00,127.3501,127.48,122.0,124.1,41569400,3.8652378408,3.8691804714,3.7028554872,3.7665931636,1163944363,0.0,1.0
AAPL,2008-03-12 00:00:00+00:00,126.03,128.68,125.17,127.04,37843900,3.8251711234,3.9056020008,3.7990690273,3.8558259106,1059630259,0.0,1.0
AAPL,2008-03-13 00:00:00+00:00,127.94,129.5,123.0,124.1,45075100,3.8831420577,3.9304900458,3.7332067617,3.7665931636,1262104062,0.0,1.0
AAPL,2008-03-14 00:00:00+00:00,126.61,130.3,124.2,129.88,41308600,3.8427748626,3.9547710654,3.7696282911,3.9420235302,1156641956,0.0,1.0
AAPL,2008-03-17 00:00:00+00:00,126.73,128.59,122.55,122.55,38307100,3.8464170155,3.9028703861,3.7195486882,3.7195486882,1072599872,0.0,1.0
AAPL,2008-03-18 00:00:00+00:00,132.82,133.0015,128.67,129.18,43040000,4.0312562771,4.0367650335,3.905298488,3.920777638,1205121205,0.0,1.0
AAPL,2008-03-19 00:00:00+00:00,129.67,134.29,129.67,133.12,36090600,3.9356497625,4.0758726506,3.9356497625,4.0403616595,1010537810,0.0,1.0
AAPL,2008-03-20 00:00:00+00:00,133.27,133.2915,129.18,131.12,32456700,4.0449143507,4.0455669031,3.920777638,3.9796591105,908788508,0.0,1.0
AAPL,2008-03-24 00:00:00+00:00,139.53,140.85,133.64,134.01,38104300,4.2349133289,4.2749770113,4.0561443222,4.0673742938,1066921466,0.0,1.0
AAPL,2008-03-25 00:00:00+00:00,140.98,143.1,137.33,139.96,37585400,4.2789226769,4.3432673788,4.1681405251,4.247964377,1052392252,0.0,1.0
AAPL,2008-03-26 00:00:00+00:00,145.06,145.74,140.64,140.87,42217300,4.4027558768,4.4233947435,4.2686032436,4.2755840367,1182085582,0.0,1.0
AAPL,2008-03-27 00:00:00+00:00,140.25,145.31,139.99,144.95,35708200,4.2567662466,4.4103436955,4.2488749152,4.3994172366,999830599,0.0,1.0
AAPL,2008-03-28 00:00:00+00:00,143.01,144.65,141.6,141.8,25521800,4.3405357641,4.3903118543,4.2977404671,4.303810722,714611114,0.0,1.0
AAPL,2008-03-31 00:00:00+00:00,143.5,145.71,142.52,143.27,27430900,4.3554078886,4.4224842053,4.3256636396,4.3484270955,768065968,0.0,1.0
AAPL,2008-04-01 00:00:00+00:00,149.5301,149.66,143.61,146.3,36877400,4.5384291089,4.5423717395,4.3587465288,4.4403914572,1032568232,0.0,1.0
AAPL,2008-04-02 00:00:00+00:00,147.49,151.2,145.85,148.78,37320300,4.4765094738,4.5891127022,4.4267333837,4.5156626179,1044969444,0.0,1.0
AAPL,2008-04-03 00:00:00+00:00,151.61,153.63,147.0,147.06,37556000,4.6015567247,4.6628662992,4.4616373493,4.4634584258,1051569051,0.0,1.0
AAPL,2008-04-04 00:00:00+00:00,153.08,154.715,150.75,152.19,30514900,4.6461730982,4.695797432,4.5754546287,4.6191604639,854418054,0.0,1.0
AAPL,2008-04-07 00:00:00+00:00,155.89,159.69,155.11,156.13,41368800,4.7314601795,4.8467950226,4.7077861854,4.7387444854,1158327558,0.0,1.0
AAPL,2008-04-08 00:00:00+00:00,152.84,156.45,152.32,153.55,36224800,4.6388887923,4.7484568932,4.6231061296,4.6604381972,1014295414,0.0,1.0
AAPL,2008-04-09 00:00:00+00:00,151.44,153.89,150.46,153.31,31192800,4.5963970081,4.6707576305,4.5666527591,4.6531538913,873399273,0.0,1.0
AAPL,2008-04-10 00:00:00+00:00,154.55,155.42,150.6,151.13,34134400,4.6907894717,4.7171950805,4.5709019375,4.586988113,955764155,0.0,1.0
AAPL,2008-04-11 00:00:00+00:00,147.14,153.3,146.4,152.72,43217000,4.4658865278,4.6528503786,4.4434265847,4.6352466394,1210077210,0.0,1.0
AAPL,2008-04-14 00:00:00+00:00,147.78,149.25,144.54,146.77,30181700,4.4853113434,4.5299277169,4.3869732141,4.4546565562,845088445,0.0,1.0
AAPL,2008-04-15 00:00:00+00:00,148.38,149.72,145.72,149.4,24929900,4.5035221081,4.5441928159,4.422787718,4.5344804081,698037898,0.0,1.0
AAPL,2008-04-16 00:00:00+00:00,153.7,154.1,150.62,151.76,28420500,4.6649908884,4.6771313982,4.571508963,4.6061094159,795774795,0.0,1.0
AAPL,2008-04-17 00:00:00+00:00,154.49,156.0,153.35,154.18,25152400,4.6889683952,4.7347988197,4.6543679423,4.6795595001,704267904,0.0,1.0
AAPL,2008-04-18 00:00:00+00:00,161.04,162.26,158.38,159.04,36670200,4.8877692431,4.924797798,4.807034853,4.8270666941,1026766626,0.0,1.0
AAPL,2008-04-21 00:00:00+00:00,168.16,168.5,161.76,162.35,37112600,5.1038703175,5.1141897508,4.9096221607,4.9275294127,1039153839,0.0,1.0
AAPL,2008-04-22 00:00:00+00:00,160.2,168.0,158.09,167.41,51413300,4.8622741725,5.0990141135,4.7982329834,5.0811068616,1439573839,0.0,1.0
AAPL,2008-04-23 00:00:00+00:00,162.89,164.84,161.08,164.05,53721100,4.9439191009,5.0031040862,4.8889832941,4.9791265793,1504192304,0.0,1.0
AAPL,2008-04-24 00:00:00+00:00,168.94,169.98,159.194,165.31,60573800,5.1275443115,5.159109637,4.8317407904,5.0173691852,1696068096,0.0,1.0
AAPL,2008-04-25 00:00:00+00:00,169.73,171.1,166.42,170.6,35445500,5.1515218184,5.1931030644,5.0510590998,5.1779274272,992474992,0.0,1.0
AAPL,2008-04-28 00:00:00+00:00,172.24,173.75,169.13,169.74,28114800,5.2277035174,5.2735339418,5.1333110537,5.1518253311,787215187,0.0,1.0
AAPL,2008-04-29 00:00:00+00:00,175.05,175.66,170.25,171.11,32981300,5.3129905987,5.3315048761,5.1673044811,5.1934065772,923477323,0.0,1.0
